Date,Average Weekly Weight (lbs),Net Weight Change (lbs)
2021-01-03,172.0,0.0
2021-01-10,171.97,-0.03
2021-01-17,171.71,-0.26
2021-01-24,172.13,0.42
2021-01-31,171.09,-1.05
2021-02-07,171.2,0.11
2021-02-14,170.11,-1.09
2021-02-21,169.31,-0.8
2021-02-28,168.1,-1.21
2021-03-07,168.2,0.1
2021-03-14,165.66,-2.54
2021-03-21,164.03,-1.63
2021-03-28,163.37,-0.66
2021-04-04,162.49,-0.89
2021-04-11,161.57,-0.92
2021-04-18,160.9,-0.67
2021-04-25,160.67,-0.23
2021-05-02,160.16,-0.51
2021-05-09,158.97,-1.19
2021-05-16,156.58,-2.39
2021-05-23,155.4,-1.18
2021-05-30,154.23,-1.17
2021-06-06,152.65,-1.58
2021-06-13,153.0,0.35
2021-06-20,153.91,0.91
2021-06-27,153.63,-0.29
2021-07-04,151.87,-1.76
2021-07-11,151.14,-0.72
2021-07-18,150.66,-0.49
2021-07-25,149.84,-0.82
2021-08-01,150.31,0.47
2021-08-08,149.07,-1.25
2021-08-15,147.91,-1.15
2021-08-22,147.91,-0.0
2021-08-29,147.54,-0.37
2021-09-05,146.49,-1.06
2021-09-12,146.27,-0.22
2021-09-19,146.0,-0.27
2021-09-26,146.2,0.2
2021-10-03,144.51,-1.69
2021-10-10,143.43,-1.08
2021-10-17,142.77,-0.66
2021-10-24,143.14,0.37
2021-10-31,142.23,-0.91
2021-11-07,142.34,0.11
2021-11-14,140.34,-2.0
2021-11-21,141.94,1.6
2021-11-28,142.83,0.89
2021-12-05,142.89,0.06
2021-12-12,142.63,-0.25
2021-12-19,143.8,1.17
2021-12-26,143.51,-0.29
2022-01-02,144.06,0.54
